minute,seconds_present,avg_people,max_people,status
2025-07-15 08:19:00.000000 UTC,28,1.9333333333333333,3,Geldig (>=10s aanwezig)
2025-07-15 08:20:00.000000 UTC,357,2.1596638655462184,4,Geldig (>=10s aanwezig)
2025-07-15 08:21:00.000000 UTC,355,1.0422535211267605,2,Geldig (>=10s aanwezig)
2025-07-15 08:22:00.000000 UTC,356,1,1,Geldig (>=10s aanwezig)
2025-07-15 08:23:00.000000 UTC,359,1.0557103064066853,2,Geldig (>=10s aanwezig)
2025-07-15 08:24:00.000000 UTC,355,1.1239436619718317,3,Geldig (>=10s aanwezig)
2025-07-15 08:25:00.000000 UTC,352,1.1875000000000002,3,Geldig (>=10s aanwezig)
2025-07-15 08:26:00.000000 UTC,352,1.2613636363636365,4,Geldig (>=10s aanwezig)
2025-07-15 08:27:00.000000 UTC,352,1.1392045454545459,2,Geldig (>=10s aanwezig)
2025-07-15 08:28:00.000000 UTC,350,2.12,4,Geldig (>=10s aanwezig)
2025-07-15 08:29:00.000000 UTC,359,1.7632311977715873,5,Geldig (>=10s aanwezig)
2025-07-15 08:30:00.000000 UTC,356,1.6179775280898876,5,Geldig (>=10s aanwezig)
2025-07-15 08:31:00.000000 UTC,359,1.3871866295264628,4,Geldig (>=10s aanwezig)
2025-07-15 08:32:00.000000 UTC,355,1.1014084507042254,3,Geldig (>=10s aanwezig)
2025-07-15 08:33:00.000000 UTC,349,1.1375358166189105,3,Geldig (>=10s aanwezig)
2025-07-15 08:34:00.000000 UTC,356,1.862359550561798,5,Geldig (>=10s aanwezig)
2025-07-15 08:35:00.000000 UTC,360,1.9888888888888889,8,Geldig (>=10s aanwezig)
2025-07-15 08:36:00.000000 UTC,357,2.2549019607843142,5,Geldig (>=10s aanwezig)
2025-07-15 08:37:00.000000 UTC,360,2.0416666666666661,6,Geldig (>=10s aanwezig)
2025-07-15 08:38:00.000000 UTC,352,1.7386363636363635,5,Geldig (>=10s aanwezig)
2025-07-15 08:39:00.000000 UTC,356,2.3848314606741576,6,Geldig (>=10s aanwezig)
